note,morph_id,morph_id_other,mosquito_sex,blood_fed_status,notes,sample_id,PARENT_KEY,KEY
,anopheles_funestus,,male,,,ep0000844050,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[1]
,anopheles_funestus,,male,,,ep0000912124,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[2]
,anopheles_funestus,,female,unfed,,ep0000843959,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[3]
,anopheles_gambiae_sl,,female,unfed,,ep0000843692,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[4]
,anopheles_funestus,,female,gravid,,ep0000845382,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[5]
,anopheles_funestus,,female,gravid,,ep0000845644,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[6]
,anopheles_funestus,,female,gravid,,ep0000844238,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[7]
,anopheles_funestus,,female,gravid,,ep0000912775,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49,uuid:5fdc7521-9884-4a7b-99f2-887d7e6d3e49/mosquito_data[8]
,anopheles_funestus,,male,,,ep0000845424,uuid:adac4ce8-5123-4a05-915d-7b73729b1201,uuid:adac4ce8-5123-4a05-915d-7b73729b1201/mosquito_data[1]
,anopheles_funestus,,male,,,ep0000913731,uuid:adac4ce8-5123-4a05-915d-7b73729b1201,uuid:adac4ce8-5123-4a05-915d-7b73729b1201/mosquito_data[2]
,anopheles_funestus,,female,unfed,,ep0000914722,uuid:adac4ce8-5123-4a05-915d-7b73729b1201,uuid:adac4ce8-5123-4a05-915d-7b73729b1201/mosquito_data[3]
,anopheles_funestus,,female,unfed,,ep0000913274,uuid:adac4ce8-5123-4a05-915d-7b73729b1201,uuid:adac4ce8-5123-4a05-915d-7b73729b1201/mosquito_data[4]
,anopheles_funestus,,female,unfed,,ep0000913204,uuid:adac4ce8-5123-4a05-915d-7b73729b1201,uuid:adac4ce8-5123-4a05-915d-7b73729b1201/mosquito_data[5]
,anopheles_funestus,,male,,,ep0000842472,uuid:a9972f40-2925-4cd5-b332-e7bc91752901,uuid:a9972f40-2925-4cd5-b332-e7bc91752901/mosquito_data[1]
,anopheles_funestus,,female,unfed,,ep0000844501,uuid:e808ce7a-3e7c-426d-8fed-1421c0eb7ac3,uuid:e808ce7a-3e7c-426d-8fed-1421c0eb7ac3/mosquito_data[1]
,anopheles_funestus,,female,unfed,,ep0000845824,uuid:e808ce7a-3e7c-426d-8fed-1421c0eb7ac3,uuid:e808ce7a-3e7c-426d-8fed-1421c0eb7ac3/mosquito_data[2]
,anopheles_funestus,,female,gravid,,ep0000844364,uuid:1f940695-b5ba-4383-90d0-64482ee8c975,uuid:1f940695-b5ba-4383-90d0-64482ee8c975/mosquito_data[1]
